SIGLAS,Riesgo_tipo_contratacion,serv_sanc,prov_sanc,noticias,pca,alerta2
LICONSA,43.34363240469026,0.0,0.0,7.0,-0.36875709691819036,4
BANCOMEXT,43.26502770129113,0.0,0.0,3.0,-0.3768409839042335,4
API-Manzanillo,43.0241706485692,0.0,0.0,0.0,-0.3783881505739794,4
CONUEE,43.09651201269279,0.0,0.0,0.0,-0.3801840223761754,4
API-Veracruz,43.13839378312324,0.0,0.0,0.0,-0.38122373584375097,4
COLPOST,43.15017822089227,0.0,0.0,0.0,-0.3815162840939884,4
ECHASA,43.188368690255686,0.0,0.0,0.0,-0.38246436114331267,4
FONATUR Operadora,43.22384341892618,0.0,0.0,0.0,-0.3833450200261207,5
HGM,43.27577478028069,0.0,0.0,0.0,-0.38463421423245187,5
TVMETRO,43.36925296638303,0.0,0.0,0.0,-0.3869548068916506,5
INDAABIN,43.701680436185185,0.0,0.0,3.0,-0.38768087258269845,5
CONAMED,44.7726421389119,1.0,0.0,1.0,-0.38895757487642985,5
CINVESTAV,43.50375445030809,0.0,0.0,0.0,-0.3902938014663433,5
CECUTT,44.14183963918624,0.0,0.0,0.0,-0.4061342436806689,5
INP,44.4141716697388,0.0,0.0,1.0,-0.41038606520275434,5
INIFED,44.4249722970581,0.0,0.0,1.0,-0.4106541903934215,5
CONACYT,48.55541152873278,2.0,1.0,6.0,-0.41175823009149204,5
API-Coatzacoalcos,44.48933829903476,0.0,0.0,0.0,-0.4147608856037695,5
CONAPRED,44.75697967861521,0.0,0.0,1.0,-0.4188962618816054,5
SCVSHF,44.786761268545526,0.0,0.0,0.0,-0.4221444002878072,5
CIESAS,45.987362985523674,0.0,1.0,0.0,-0.42371439896146196,5
IMCINE,45.102624854814984,0.0,0.0,0.0,-0.42998570262975266,5
PA,49.026793773637856,3.0,0.0,2.0,-0.4314029129902023,5
COLMICH,45.1670316996697,0.0,0.0,0.0,-0.4315846002721222,5
CIAD,45.18823319656718,0.0,0.0,0.0,-0.4321109266816918,5
INECC,45.38488423058288,0.0,0.0,0.0,-0.43699278163618416,5
HJM,45.463757402955885,0.0,0.0,0.0,-0.4389508053468297,5
CNTS,46.055043410587,0.0,0.0,0.0,-0.4536294595442217,5
INADEM,46.6641039363624,0.0,0.0,3.0,-0.4612229310520708,5
CIATEC,46.499547038797765,0.0,0.0,0.0,-0.46466424637121284,5
Tribunales Agrarios,46.695411490007544,0.0,0.0,0.0,-0.46952657443540735,5
FICINE,46.75182284007084,0.0,0.0,0.0,-0.4709269842027625,5
SHF,46.825413869871426,0.0,0.0,0.0,-0.47275387891112974,5
BIRMEX,47.21598181934702,0.0,0.0,1.0,-0.47994090293282327,5
HG,47.29537528839654,0.0,0.0,0.0,-0.48442065448101557,5
INAOE,47.371023995340025,0.0,0.0,0.0,-0.48629863095157655,5
SECTUR,48.345532833659455,0.0,0.0,3.0,-0.5029643438749556,5
INDESOL,48.05813844864548,0.0,0.0,0.0,-0.5033562229188014,5
FOMMUR,48.209891628250766,0.0,0.0,0.0,-0.5071234902277387,5
PROFEPA,49.301188688093845,0.0,0.0,7.0,-0.5166532206501393,5
IMT,48.80805848331581,0.0,0.0,0.0,-0.5219729612189735,5
GACM,49.791353889904656,0.0,0.0,7.0,-0.5288215544245191,5
ISSFAM,54.87985712411242,0.0,5.0,1.0,-0.529021853797738,5
ESSA,49.28094859903141,0.0,0.0,0.0,-0.5337124415928851,5
SPR,49.589407726806904,0.0,0.0,0.0,-0.5413699285149676,5
CONAZA,52.63047730544119,2.0,0.0,0.0,-0.5562093590419438,5
COLSAN,50.2726884676526,0.0,0.0,0.0,-0.5583323487061604,5
CCC,51.22578457101964,0.0,0.0,1.0,-0.5794841142246986,5
SIAP,51.33326003322173,0.0,0.0,1.0,-0.5821521887673209,5
INCA RURAL,51.32101653111277,0.0,0.0,0.0,-0.584357055752084,5
SESNSP,51.661447780797175,0.0,0.0,1.0,-0.5902994379771932,5
PRONABIVE,51.65846799741731,0.0,0.0,0.0,-0.5927342764513053,5
CETI,56.560960106079705,4.0,0.0,0.0,-0.593128441304114,5
FIFOMI,51.93450962835231,0.0,0.0,0.0,-0.599587000162479,5
FIFONAFE,53.20832602374811,1.0,0.0,0.0,-0.6008819400350927,5
PDC,54.61540207788841,2.0,0.0,0.0,-0.6054850462162747,5
POI,52.5762112592211,0.0,0.0,0.0,-0.6155172204211358,5
HRAEI,52.7530566200091,0.0,0.0,0.0,-0.619907400239224,5
CNH,54.45683597731808,1.0,0.0,4.0,-0.6218409094490691,5
INALI,55.560064249592166,1.0,1.0,0.0,-0.6310288617706197,5
SEMAR,53.67462499201075,0.0,0.0,4.0,-0.6327500564703189,5
PDC,54.61540207788841,1.0,0.0,0.0,-0.6358125532435857,5
ASEA,53.48141769714794,0.0,0.0,0.0,-0.637988938182248,5
FONART,53.72801439571915,0.0,0.0,0.0,-0.6441106924903652,5
IEPSA,53.99965491245147,0.0,0.0,0.0,-0.6508541586973351,5
CMM,54.413217332599196,0.0,0.0,0.0,-0.6611208311300308,5
OnceTV,56.85242050908116,0.0,0.0,0.0,-0.7216739635949824,5
AEM,58.617004656420434,0.0,0.0,2.0,-0.7604620795730285,5
CONASAMI,60.57348376392027,0.0,0.0,4.0,-0.8040139811405631,5
CIQA,60.96674461960735,0.0,0.0,0.0,-0.8238119139184807,5
CNDSCAÑA,62.90345827383322,0.0,0.0,0.0,-0.8718907617904986,5
CONAMPROS,63.908458070097076,0.0,0.0,0.0,-0.8968398461378656,5
